date,coder,clan_file,audiofile,block,timestamp,clip,tier,label,multi-tier-parent,dont_share,training,reliability
,,103_010824_reliability.cha,103_010824.wav,8,237510_238510,1,FAN,,N,False,False,True
,,103_010824_reliability.cha,103_010824.wav,8,238510_239700,2,SIL,,N,False,False,True
,,103_010824_reliability.cha,103_010824.wav,8,239700_240910,3,OLF,,N,False,False,True
,,103_010824_reliability.cha,103_010824.wav,8,240910_242610,4,TVF,,N,False,False,True
,,103_010824_reliability.cha,103_010824.wav,8,242610_243640,5,FAN,,N,False,False,True
,,103_010824_reliability.cha,103_010824.wav,8,243640_244640,6,TVF,,N,False,False,True
,,103_010824_reliability.cha,103_010824.wav,8,244640_246110,7,FAN,,N,False,False,True
,,103_010824_reliability.cha,103_010824.wav,8,246110_247110,8,CXF,,N,False,False,True
,,103_010824_reliability.cha,103_010824.wav,8,247110_248440,9,OLF,,N,False,False,True
,,103_010824_reliability.cha,103_010824.wav,8,248440_249050,10,CHN,,N,False,False,True
,,103_010824_reliability.cha,103_010824.wav,8,249050_250400,11,CXN,,N,False,False,True
,,103_010824_reliability.cha,103_010824.wav,8,250400_251200,12,CXN,,N,False,False,True
,,103_010824_reliability.cha,103_010824.wav,8,251200_252680,13,TVF,,N,False,False,True
,,103_010824_reliability.cha,103_010824.wav,8,252680_253970,14,FAN,,N,False,False,True
,,103_010824_reliability.cha,103_010824.wav,8,253970_254970,15,TVF,,N,False,False,True
,,103_010824_reliability.cha,103_010824.wav,8,254970_257330,16,FAN,,N,False,False,True
